n,"Date Time, GMT-04:00",Temp,Treat,Rep
114,04/17/18 05:50:00 AM,24.835,Ctrl,C
115,04/17/18 06:00:00 AM,24.835,Ctrl,C
116,04/17/18 06:10:00 AM,24.835,Ctrl,C
117,04/17/18 06:20:00 AM,24.835,Ctrl,C
118,04/17/18 06:30:00 AM,24.738,Ctrl,C
119,04/17/18 06:40:00 AM,24.738,Ctrl,C
120,04/17/18 06:50:00 AM,24.738,Ctrl,C
121,04/17/18 07:00:00 AM,24.738,Ctrl,C
122,04/17/18 07:10:00 AM,24.738,Ctrl,C
123,04/17/18 07:20:00 AM,24.641,Ctrl,C
124,04/17/18 07:30:00 AM,24.641,Ctrl,C
125,04/17/18 07:40:00 AM,24.641,Ctrl,C
126,04/17/18 07:50:00 AM,24.641,Ctrl,C
127,04/17/18 08:00:00 AM,24.641,Ctrl,C
128,04/17/18 08:10:00 AM,24.641,Ctrl,C
129,04/17/18 08:20:00 AM,24.545,Ctrl,C
130,04/17/18 08:30:00 AM,24.545,Ctrl,C
131,04/17/18 08:40:00 AM,24.545,Ctrl,C
132,04/17/18 08:50:00 AM,24.448,Ctrl,C
133,04/17/18 09:00:00 AM,24.448,Ctrl,C
134,04/17/18 09:10:00 AM,24.448,Ctrl,C
135,04/17/18 09:20:00 AM,24.351,Ctrl,C
136,04/17/18 09:30:00 AM,24.351,Ctrl,C
137,04/17/18 09:40:00 AM,24.351,Ctrl,C
138,04/17/18 09:50:00 AM,24.255,Ctrl,C
139,04/17/18 10:00:00 AM,24.255,Ctrl,C
140,04/17/18 10:10:00 AM,24.158,Ctrl,C
141,04/17/18 10:20:00 AM,24.158,Ctrl,C
142,04/17/18 10:30:00 AM,24.158,Ctrl,C
143,04/17/18 10:40:00 AM,24.062,Ctrl,C
144,04/17/18 10:50:00 AM,24.062,Ctrl,C
145,04/17/18 11:00:00 AM,24.062,Ctrl,C
146,04/17/18 11:10:00 AM,23.966,Ctrl,C
147,04/17/18 11:20:00 AM,23.966,Ctrl,C
148,04/17/18 11:30:00 AM,23.966,Ctrl,C
149,04/17/18 11:40:00 AM,23.869,Ctrl,C
150,04/17/18 11:50:00 AM,23.869,Ctrl,C
151,04/17/18 12:00:00 PM,23.869,Ctrl,C
152,04/17/18 12:10:00 PM,23.773,Ctrl,C
153,04/17/18 12:20:00 PM,23.773,Ctrl,C
154,04/17/18 12:30:00 PM,23.773,Ctrl,C
