Date,Day,Family,Rep,Length,Width,Origin
17-Apr,5,4,5,1.721,0.355,inshore
17-Apr,5,4,6,1.401,0.323,inshore
17-Apr,5,4,7,1.241,0.241,inshore
17-Apr,5,4,8,1.251,0.359,inshore
17-Apr,5,4,9,1.077,0.305,inshore
17-Apr,5,4,10,0.781,0.265,inshore
14-Apr,2,12,1,0.549,0.5,inshore
14-Apr,2,12,2,0.646,0.508,inshore
14-Apr,2,12,3,0.681,0.477,inshore
14-Apr,2,12,4,0.665,0.653,inshore
14-Apr,2,12,5,0.674,0.631,inshore
14-Apr,2,12,6,0.594,0.433,inshore
14-Apr,2,12,7,0.64,0.597,inshore
14-Apr,2,12,8,0.571,0.564,inshore
14-Apr,2,12,9,0.761,0.556,inshore
14-Apr,2,12,10,0.719,0.48,inshore
15-Apr,3,12,1,0.479,0.316,inshore
15-Apr,3,12,2,0.66,0.66,inshore
15-Apr,3,12,3,0.535,0.453,inshore
15-Apr,3,12,4,0.676,0.676,inshore
15-Apr,3,12,5,0.525,0.503,inshore
15-Apr,3,12,6,0.641,0.633,inshore
15-Apr,3,12,7,0.606,0.525,inshore
15-Apr,3,12,8,0.582,0.468,inshore
15-Apr,3,12,9,0.568,0.563,inshore
16-Apr,4,14,1,0.419,0.369,inshore
16-Apr,4,14,2,0.63,0.392,inshore
16-Apr,4,14,3,0.601,0.496,inshore
16-Apr,4,14,4,0.534,0.477,inshore
16-Apr,4,14,5,0.515,0.482,inshore
16-Apr,4,14,6,0.937,0.356,inshore
16-Apr,4,14,7,0.722,0.437,inshore
16-Apr,4,14,8,0.602,0.566,inshore
16-Apr,4,14,9,0.917,0.343,inshore
16-Apr,4,14,10,0.916,0.417,inshore
15-Apr,3,15,1,0.617,0.6,inshore
15-Apr,3,15,2,0.611,0.6,inshore
15-Apr,3,15,3,0.6,0.521,inshore
15-Apr,3,15,4,0.521,0.521,inshore
15-Apr,3,15,5,0.569,0.556,inshore
15-Apr,3,15,6,0.578,0.573,inshore
15-Apr,3,15,7,0.681,0.549,inshore
15-Apr,3,15,8,0.617,0.485,inshore
15-Apr,3,15,9,0.496,0.46,inshore
15-Apr,3,15,10,0.628,0.419,inshore
16-Apr,4,15,1,0.504,0.443,inshore
16-Apr,4,15,2,0.524,0.421,inshore
16-Apr,4,15,3,0.737,0.412,inshore
16-Apr,4,15,4,0.604,0.543,inshore
16-Apr,4,15,5,0.707,0.435,inshore
16-Apr,4,15,6,0.773,0.695,inshore
16-Apr,4,15,7,0.635,0.382,inshore
16-Apr,4,15,8,0.946,0.341,inshore
16-Apr,4,15,9,0.532,0.421,inshore
13-Apr,1,26,1,0.526,0.448,offshore
13-Apr,1,26,2,0.818,0.44,offshore
13-Apr,1,26,3,0.78,0.454,offshore
13-Apr,1,26,4,0.892,0.323,offshore
13-Apr,1,26,5,0.852,0.323,offshore
13-Apr,1,26,6,0.561,0.323,offshore
13-Apr,1,26,7,0.898,0.418,offshore
13-Apr,1,26,8,0.722,0.387,offshore
13-Apr,1,26,9,0.691,0.332,offshore
13-Apr,1,26,10,0.493,0.483,offshore
14-Apr,2,26,1,0.902,0.283,offshore
14-Apr,2,26,2,0.709,0.354,offshore
14-Apr,2,26,3,0.789,0.466,offshore
14-Apr,2,26,4,0.864,0.45,offshore
14-Apr,2,26,5,0.775,0.383,offshore
14-Apr,2,26,6,0.74,0.358,offshore
14-Apr,2,26,7,0.764,0.329,offshore
14-Apr,2,26,8,0.601,0.554,offshore
14-Apr,2,26,9,0.84,0.466,offshore
14-Apr,2,26,10,0.55,0.457,offshore
15-Apr,3,26,1,0.615,0.187,offshore
15-Apr,3,26,2,0.642,0.37,offshore
15-Apr,3,26,3,0.828,0.428,offshore
15-Apr,3,26,4,1.394,0.296,offshore
15-Apr,3,26,5,0.87,0.246,offshore
