Family,Origin,Nlarvae
1,inshore,115
2,inshore,360
3,inshore,265
4,inshore,940
7,inshore,8
12,inshore,55
14,inshore,70
15,inshore,230
26,offshore,1270
27,offshore,370
28,offshore,410
29,offshore,510
30,offshore,180
31,offshore,309
33,offshore,12
35,offshore,213
37,offshore,20
38,offshore,12
39,offshore,100
40,offshore,15
41,offshore,100
