n,"Date Time, GMT-04:00",Temp ,Treat,Rep
114,04/17/18 05:50:00 AM,24.545,Ctrl,B
115,04/17/18 06:00:00 AM,24.545,Ctrl,B
116,04/17/18 06:10:00 AM,24.545,Ctrl,B
117,04/17/18 06:20:00 AM,24.545,Ctrl,B
118,04/17/18 06:30:00 AM,24.545,Ctrl,B
119,04/17/18 06:40:00 AM,24.448,Ctrl,B
120,04/17/18 06:50:00 AM,24.448,Ctrl,B
121,04/17/18 07:00:00 AM,24.448,Ctrl,B
122,04/17/18 07:10:00 AM,24.448,Ctrl,B
123,04/17/18 07:20:00 AM,24.351,Ctrl,B
124,04/17/18 07:30:00 AM,24.351,Ctrl,B
125,04/17/18 07:40:00 AM,24.351,Ctrl,B
126,04/17/18 07:50:00 AM,24.351,Ctrl,B
127,04/17/18 08:00:00 AM,24.351,Ctrl,B
128,04/17/18 08:10:00 AM,24.351,Ctrl,B
129,04/17/18 08:20:00 AM,24.351,Ctrl,B
130,04/17/18 08:30:00 AM,24.255,Ctrl,B
131,04/17/18 08:40:00 AM,24.255,Ctrl,B
132,04/17/18 08:50:00 AM,24.255,Ctrl,B
133,04/17/18 09:00:00 AM,24.158,Ctrl,B
134,04/17/18 09:10:00 AM,24.158,Ctrl,B
135,04/17/18 09:20:00 AM,24.158,Ctrl,B
136,04/17/18 09:30:00 AM,24.062,Ctrl,B
137,04/17/18 09:40:00 AM,24.062,Ctrl,B
138,04/17/18 09:50:00 AM,24.062,Ctrl,B
139,04/17/18 10:00:00 AM,23.966,Ctrl,B
140,04/17/18 10:10:00 AM,23.966,Ctrl,B
141,04/17/18 10:20:00 AM,23.966,Ctrl,B
142,04/17/18 10:30:00 AM,23.966,Ctrl,B
143,04/17/18 10:40:00 AM,23.869,Ctrl,B
144,04/17/18 10:50:00 AM,23.869,Ctrl,B
145,04/17/18 11:00:00 AM,23.869,Ctrl,B
146,04/17/18 11:10:00 AM,23.869,Ctrl,B
147,04/17/18 11:20:00 AM,23.773,Ctrl,B
148,04/17/18 11:30:00 AM,23.773,Ctrl,B
149,04/17/18 11:40:00 AM,23.773,Ctrl,B
150,04/17/18 11:50:00 AM,23.773,Ctrl,B
151,04/17/18 12:00:00 PM,23.677,Ctrl,B
152,04/17/18 12:10:00 PM,23.677,Ctrl,B
153,04/17/18 12:20:00 PM,23.677,Ctrl,B
154,04/17/18 12:30:00 PM,23.581,Ctrl,B
155,04/17/18 12:40:00 PM,23.581,Ctrl,B
156,04/17/18 12:50:00 PM,23.581,Ctrl,B
157,04/17/18 01:00:00 PM,23.581,Ctrl,B
158,04/17/18 01:10:00 PM,23.484,Ctrl,B
159,04/17/18 01:20:00 PM,23.484,Ctrl,B
160,04/17/18 01:30:00 PM,23.484,Ctrl,B
161,04/17/18 01:40:00 PM,23.484,Ctrl,B
162,04/17/18 01:50:00 PM,23.484,Ctrl,B
163,04/17/18 02:00:00 PM,23.388,Ctrl,B
164,04/17/18 02:10:00 PM,23.388,Ctrl,B
165,04/17/18 02:20:00 PM,23.388,Ctrl,B
166,04/17/18 02:30:00 PM,23.292,Ctrl,B
167,04/17/18 02:40:00 PM,23.292,Ctrl,B
168,04/17/18 02:50:00 PM,23.292,Ctrl,B
169,04/17/18 03:00:00 PM,23.292,Ctrl,B
170,04/17/18 03:10:00 PM,23.292,Ctrl,B
171,04/17/18 03:20:00 PM,23.196,Ctrl,B
172,04/17/18 03:30:00 PM,23.196,Ctrl,B
173,04/17/18 03:40:00 PM,23.196,Ctrl,B
174,04/17/18 03:50:00 PM,23.196,Ctrl,B
175,04/17/18 04:00:00 PM,23.196,Ctrl,B
176,04/17/18 04:10:00 PM,23.196,Ctrl,B
177,04/17/18 04:20:00 PM,23.196,Ctrl,B
178,04/17/18 04:30:00 PM,23.196,Ctrl,B
179,04/17/18 04:40:00 PM,23.196,Ctrl,B
180,04/17/18 04:50:00 PM,23.196,Ctrl,B
181,04/17/18 05:00:00 PM,23.196,Ctrl,B
182,04/17/18 05:10:00 PM,23.196,Ctrl,B
183,04/17/18 05:20:00 PM,23.292,Ctrl,B
184,04/17/18 05:30:00 PM,23.292,Ctrl,B
185,04/17/18 05:40:00 PM,23.292,Ctrl,B
186,04/17/18 05:50:00 PM,23.388,Ctrl,B
187,04/17/18 06:00:00 PM,23.388,Ctrl,B
188,04/17/18 06:10:00 PM,23.388,Ctrl,B
189,04/17/18 06:20:00 PM,23.388,Ctrl,B
190,04/17/18 06:30:00 PM,23.388,Ctrl,B
191,04/17/18 06:40:00 PM,23.484,Ctrl,B
192,04/17/18 06:50:00 PM,23.484,Ctrl,B
193,04/17/18 07:00:00 PM,23.484,Ctrl,B
194,04/17/18 07:10:00 PM,23.484,Ctrl,B
195,04/17/18 07:20:00 PM,23.581,Ctrl,B
196,04/17/18 07:30:00 PM,23.581,Ctrl,B
197,04/17/18 07:40:00 PM,23.581,Ctrl,B
198,04/17/18 07:50:00 PM,23.581,Ctrl,B
199,04/17/18 08:00:00 PM,23.581,Ctrl,B
200,04/17/18 08:10:00 PM,23.677,Ctrl,B
201,04/17/18 08:20:00 PM,23.677,Ctrl,B
202,04/17/18 08:30:00 PM,23.677,Ctrl,B
203,04/17/18 08:40:00 PM,23.677,Ctrl,B
204,04/17/18 08:50:00 PM,23.773,Ctrl,B
205,04/17/18 09:00:00 PM,23.773,Ctrl,B
206,04/17/18 09:10:00 PM,23.773,Ctrl,B
207,04/17/18 09:20:00 PM,23.773,Ctrl,B
208,04/17/18 09:30:00 PM,23.773,Ctrl,B
209,04/17/18 09:40:00 PM,23.773,Ctrl,B
210,04/17/18 09:50:00 PM,23.869,Ctrl,B
211,04/17/18 10:00:00 PM,23.869,Ctrl,B
212,04/17/18 10:10:00 PM,23.869,Ctrl,B
213,04/17/18 10:20:00 PM,23.869,Ctrl,B
214,04/17/18 10:30:00 PM,23.869,Ctrl,B
215,04/17/18 10:40:00 PM,23.869,Ctrl,B
216,04/17/18 10:50:00 PM,23.869,Ctrl,B
217,04/17/18 11:00:00 PM,23.869,Ctrl,B
218,04/17/18 11:10:00 PM,23.966,Ctrl,B
219,04/17/18 11:20:00 PM,23.966,Ctrl,B
220,04/17/18 11:30:00 PM,23.966,Ctrl,B
221,04/17/18 11:40:00 PM,23.966,Ctrl,B
222,04/17/18 11:50:00 PM,23.966,Ctrl,B
223,04/18/18 12:00:00 AM,23.966,Ctrl,B
224,04/18/18 12:10:00 AM,23.966,Ctrl,B
225,04/18/18 12:20:00 AM,23.966,Ctrl,B
226,04/18/18 12:30:00 AM,23.966,Ctrl,B
227,04/18/18 12:40:00 AM,23.966,Ctrl,B
