n,"Date Time, GMT-04:00",Temp,Treat,Rep
123,04/17/18 07:20:00 AM,35.222,Heat,f
124,04/17/18 07:30:00 AM,35.222,Heat,f
125,04/17/18 07:40:00 AM,35.328,Heat,f
126,04/17/18 07:50:00 AM,35.328,Heat,f
127,04/17/18 08:00:00 AM,35.328,Heat,f
128,04/17/18 08:10:00 AM,35.009,Heat,f
129,04/17/18 08:20:00 AM,34.691,Heat,f
130,04/17/18 08:30:00 AM,34.479,Heat,f
131,04/17/18 08:40:00 AM,34.268,Heat,f
132,04/17/18 08:50:00 AM,34.163,Heat,f
133,04/17/18 09:00:00 AM,33.953,Heat,f
134,04/17/18 09:10:00 AM,33.953,Heat,f
135,04/17/18 09:20:00 AM,33.639,Heat,f
136,04/17/18 09:30:00 AM,33.535,Heat,f
137,04/17/18 09:40:00 AM,33.43,Heat,f
138,04/17/18 09:50:00 AM,33.222,Heat,f
139,04/17/18 10:00:00 AM,33.118,Heat,f
140,04/17/18 10:10:00 AM,33.014,Heat,f
141,04/17/18 10:20:00 AM,32.807,Heat,f
142,04/17/18 10:30:00 AM,32.807,Heat,f
143,04/17/18 10:40:00 AM,32.807,Heat,f
144,04/17/18 10:50:00 AM,32.704,Heat,f
145,04/17/18 11:00:00 AM,32.704,Heat,f
146,04/17/18 11:10:00 AM,32.6,Heat,f
147,04/17/18 11:20:00 AM,32.497,Heat,f
148,04/17/18 11:30:00 AM,32.6,Heat,f
149,04/17/18 11:40:00 AM,32.497,Heat,f
150,04/17/18 11:50:00 AM,32.394,Heat,f
151,04/17/18 12:00:00 PM,32.497,Heat,f
152,04/17/18 12:10:00 PM,32.394,Heat,f
153,04/17/18 12:20:00 PM,32.497,Heat,f
154,04/17/18 12:30:00 PM,32.394,Heat,f
155,04/17/18 12:40:00 PM,32.394,Heat,f
156,04/17/18 12:50:00 PM,32.394,Heat,f
157,04/17/18 01:00:00 PM,32.291,Heat,f
158,04/17/18 01:10:00 PM,32.394,Heat,f
159,04/17/18 01:20:00 PM,32.291,Heat,f
160,04/17/18 01:30:00 PM,32.394,Heat,f
161,04/17/18 01:40:00 PM,32.394,Heat,f
162,04/17/18 01:50:00 PM,32.497,Heat,f
163,04/17/18 02:00:00 PM,32.394,Heat,f
164,04/17/18 02:10:00 PM,32.497,Heat,f
165,04/17/18 02:20:00 PM,32.497,Heat,f
166,04/17/18 02:30:00 PM,32.497,Heat,f
167,04/17/18 02:40:00 PM,32.497,Heat,f
168,04/17/18 02:50:00 PM,32.497,Heat,f
169,04/17/18 03:00:00 PM,32.497,Heat,f
170,04/17/18 03:10:00 PM,32.6,Heat,f
171,04/17/18 03:20:00 PM,32.497,Heat,f
172,04/17/18 03:30:00 PM,32.6,Heat,f
173,04/17/18 03:40:00 PM,32.497,Heat,f
174,04/17/18 03:50:00 PM,32.497,Heat,f
175,04/17/18 04:00:00 PM,32.497,Heat,f
176,04/17/18 04:10:00 PM,32.497,Heat,f
177,04/17/18 04:20:00 PM,32.6,Heat,f
178,04/17/18 04:30:00 PM,32.497,Heat,f
179,04/17/18 04:40:00 PM,32.497,Heat,f
180,04/17/18 04:50:00 PM,32.497,Heat,f
181,04/17/18 05:00:00 PM,32.394,Heat,f
182,04/17/18 05:10:00 PM,32.394,Heat,f
183,04/17/18 05:20:00 PM,32.394,Heat,f
184,04/17/18 05:30:00 PM,32.291,Heat,f
185,04/17/18 05:40:00 PM,32.188,Heat,f
186,04/17/18 05:50:00 PM,32.188,Heat,f
187,04/17/18 06:00:00 PM,32.086,Heat,f
188,04/17/18 06:10:00 PM,32.086,Heat,f
189,04/17/18 06:20:00 PM,32.086,Heat,f
190,04/17/18 06:30:00 PM,31.983,Heat,f
191,04/17/18 06:40:00 PM,31.983,Heat,f
192,04/17/18 06:50:00 PM,31.983,Heat,f
193,04/17/18 07:00:00 PM,31.88,Heat,f
194,04/17/18 07:10:00 PM,31.88,Heat,f
195,04/17/18 07:20:00 PM,31.88,Heat,f
196,04/17/18 07:30:00 PM,31.88,Heat,f
197,04/17/18 07:40:00 PM,31.778,Heat,f
198,04/17/18 07:50:00 PM,31.88,Heat,f
199,04/17/18 08:00:00 PM,31.778,Heat,f
200,04/17/18 08:10:00 PM,31.676,Heat,f
201,04/17/18 08:20:00 PM,31.778,Heat,f
202,04/17/18 08:30:00 PM,31.778,Heat,f
203,04/17/18 08:40:00 PM,31.676,Heat,f
204,04/17/18 08:50:00 PM,31.778,Heat,f
205,04/17/18 09:00:00 PM,31.676,Heat,f
206,04/17/18 09:10:00 PM,31.676,Heat,f
207,04/17/18 09:20:00 PM,31.676,Heat,f
208,04/17/18 09:30:00 PM,31.676,Heat,f
209,04/17/18 09:40:00 PM,31.574,Heat,f
210,04/17/18 09:50:00 PM,31.676,Heat,f
211,04/17/18 10:00:00 PM,31.676,Heat,f
212,04/17/18 10:10:00 PM,31.574,Heat,f
213,04/17/18 10:20:00 PM,31.676,Heat,f
214,04/17/18 10:30:00 PM,31.676,Heat,f
215,04/17/18 10:40:00 PM,31.574,Heat,f
216,04/17/18 10:50:00 PM,31.574,Heat,f
217,04/17/18 11:00:00 PM,31.676,Heat,f
218,04/17/18 11:10:00 PM,31.574,Heat,f
219,04/17/18 11:20:00 PM,31.574,Heat,f
220,04/17/18 11:30:00 PM,31.574,Heat,f
221,04/17/18 11:40:00 PM,31.574,Heat,f
222,04/17/18 11:50:00 PM,31.574,Heat,f
223,04/18/18 12:00:00 AM,31.676,Heat,f
224,04/18/18 12:10:00 AM,31.574,Heat,f
225,04/18/18 12:20:00 AM,31.574,Heat,f
226,04/18/18 12:30:00 AM,31.676,Heat,f
227,04/18/18 12:40:00 AM,31.574,Heat,f
228,04/18/18 12:50:00 AM,31.574,Heat,f
229,04/18/18 01:00:00 AM,31.676,Heat,f
230,04/18/18 01:10:00 AM,31.574,Heat,f
231,04/18/18 01:20:00 AM,31.574,Heat,f
232,04/18/18 01:30:00 AM,31.574,Heat,f
233,04/18/18 01:40:00 AM,31.472,Heat,f
234,04/18/18 01:50:00 AM,31.574,Heat,f
235,04/18/18 02:00:00 AM,31.574,Heat,f
236,04/18/18 02:10:00 AM,31.472,Heat,f
237,04/18/18 02:20:00 AM,31.472,Heat,f
238,04/18/18 02:30:00 AM,31.574,Heat,f
239,04/18/18 02:40:00 AM,31.472,Heat,f
240,04/18/18 02:50:00 AM,31.472,Heat,f
241,04/18/18 03:00:00 AM,31.574,Heat,f
242,04/18/18 03:10:00 AM,31.472,Heat,f
243,04/18/18 03:20:00 AM,31.472,Heat,f
244,04/18/18 03:30:00 AM,31.574,Heat,f
245,04/18/18 03:40:00 AM,31.472,Heat,f
246,04/18/18 03:50:00 AM,31.472,Heat,f
247,04/18/18 04:00:00 AM,31.574,Heat,f
248,04/18/18 04:10:00 AM,31.472,Heat,f
249,04/18/18 04:20:00 AM,31.472,Heat,f
250,04/18/18 04:30:00 AM,31.574,Heat,f
251,04/18/18 04:40:00 AM,31.472,Heat,f
252,04/18/18 04:50:00 AM,31.472,Heat,f
253,04/18/18 05:00:00 AM,31.574,Heat,f
254,04/18/18 05:10:00 AM,31.472,Heat,f
255,04/18/18 05:20:00 AM,31.472,Heat,f
256,04/18/18 05:30:00 AM,31.574,Heat,f
257,04/18/18 05:40:00 AM,31.472,Heat,f
258,04/18/18 05:50:00 AM,31.472,Heat,f
259,04/18/18 06:00:00 AM,31.574,Heat,f
260,04/18/18 06:10:00 AM,31.472,Heat,f
261,04/18/18 06:20:00 AM,31.472,Heat,f
262,04/18/18 06:30:00 AM,31.574,Heat,f
263,04/18/18 06:40:00 AM,31.472,Heat,f
264,04/18/18 06:50:00 AM,31.472,Heat,f
265,04/18/18 07:00:00 AM,31.574,Heat,f
266,04/18/18 07:10:00 AM,31.472,Heat,f
267,04/18/18 07:20:00 AM,31.472,Heat,f
268,04/18/18 07:30:00 AM,31.574,Heat,f
269,04/18/18 07:40:00 AM,31.574,Heat,f
270,04/18/18 07:50:00 AM,31.472,Heat,f
271,04/18/18 08:00:00 AM,31.574,Heat,f
272,04/18/18 08:10:00 AM,31.574,Heat,f
273,04/18/18 08:20:00 AM,31.472,Heat,f
274,04/18/18 08:30:00 AM,31.676,Heat,f
275,04/18/18 08:40:00 AM,31.574,Heat,f
276,04/18/18 08:50:00 AM,31.574,Heat,f
277,04/18/18 09:00:00 AM,31.676,Heat,f
278,04/18/18 09:10:00 AM,31.574,Heat,f
279,04/18/18 09:20:00 AM,31.676,Heat,f
280,04/18/18 09:30:00 AM,31.676,Heat,f
281,04/18/18 09:40:00 AM,31.574,Heat,f
282,04/18/18 09:50:00 AM,31.676,Heat,f
283,04/18/18 10:00:00 AM,31.778,Heat,f
284,04/18/18 10:10:00 AM,31.676,Heat,f
285,04/18/18 10:20:00 AM,31.676,Heat,f
286,04/18/18 10:30:00 AM,31.778,Heat,f
287,04/18/18 10:40:00 AM,31.676,Heat,f
