Family,Origin,Nlarvae,SymChange,ChlaChange,ProtChange
2,inshore,360,-0.32039165,-0.028227693,-0.167809945
4,inshore,940,-0.120581539,-0.027617064,-0.010934067
15,inshore,230,-0.020996381,0.165887921,0.183355337
26,offshore,1270,0.085959108,0.254655704,0.155872243
27,offshore,370,0.438586456,0.623917975,0.363364639
28,offshore,410,-0.309034458,0.105155417,-0.158113918
29,offshore,510,0.065075665,0.311440038,-0.104946092
