n,"Date Time, GMT-04:00",Temp,Treat
123,04/18/18 06:50:00 AM,24.255,Ctrl
124,04/18/18 07:00:00 AM,24.255,Ctrl
125,04/18/18 07:10:00 AM,24.255,Ctrl
126,04/18/18 07:20:00 AM,24.255,Ctrl
127,04/18/18 07:30:00 AM,24.255,Ctrl
128,04/18/18 07:40:00 AM,24.255,Ctrl
129,04/18/18 07:50:00 AM,24.255,Ctrl
130,04/18/18 08:00:00 AM,24.255,Ctrl
131,04/18/18 08:10:00 AM,24.255,Ctrl
132,04/18/18 08:20:00 AM,24.255,Ctrl
133,04/18/18 08:30:00 AM,24.255,Ctrl
134,04/18/18 08:40:00 AM,24.255,Ctrl
135,04/18/18 08:50:00 AM,24.255,Ctrl
136,04/18/18 09:00:00 AM,24.255,Ctrl
137,04/18/18 09:10:00 AM,24.255,Ctrl
138,04/18/18 09:20:00 AM,24.158,Ctrl
139,04/18/18 09:30:00 AM,24.158,Ctrl
140,04/18/18 09:40:00 AM,24.158,Ctrl
141,04/18/18 09:50:00 AM,24.158,Ctrl
142,04/18/18 10:00:00 AM,24.158,Ctrl
143,04/18/18 10:10:00 AM,24.158,Ctrl
144,04/18/18 10:20:00 AM,24.158,Ctrl
145,04/18/18 10:30:00 AM,24.062,Ctrl
146,04/18/18 10:40:00 AM,24.158,Ctrl
147,04/18/18 10:50:00 AM,24.062,Ctrl
148,04/18/18 11:00:00 AM,24.062,Ctrl
149,04/18/18 11:10:00 AM,24.062,Ctrl
150,04/18/18 11:20:00 AM,24.062,Ctrl
151,04/18/18 11:30:00 AM,24.062,Ctrl
152,04/18/18 11:40:00 AM,24.062,Ctrl
153,04/18/18 11:50:00 AM,24.062,Ctrl
154,04/18/18 12:00:00 PM,24.062,Ctrl
155,04/18/18 12:10:00 PM,24.062,Ctrl
156,04/18/18 12:20:00 PM,24.062,Ctrl
157,04/18/18 12:30:00 PM,24.062,Ctrl
158,04/18/18 12:40:00 PM,24.062,Ctrl
159,04/18/18 12:50:00 PM,24.062,Ctrl
160,04/18/18 01:00:00 PM,24.062,Ctrl
161,04/18/18 01:10:00 PM,24.062,Ctrl
162,04/18/18 01:20:00 PM,24.062,Ctrl
163,04/18/18 01:30:00 PM,24.062,Ctrl
164,04/18/18 01:40:00 PM,24.062,Ctrl
165,04/18/18 01:50:00 PM,24.062,Ctrl
166,04/18/18 02:00:00 PM,24.062,Ctrl
167,04/18/18 02:10:00 PM,24.062,Ctrl
168,04/18/18 02:20:00 PM,24.062,Ctrl
169,04/18/18 02:30:00 PM,24.062,Ctrl
170,04/18/18 02:40:00 PM,24.062,Ctrl
171,04/18/18 02:50:00 PM,24.062,Ctrl
172,04/18/18 03:00:00 PM,24.062,Ctrl
173,04/18/18 03:10:00 PM,24.062,Ctrl
174,04/18/18 03:20:00 PM,24.062,Ctrl
175,04/18/18 03:30:00 PM,24.062,Ctrl
176,04/18/18 03:40:00 PM,24.062,Ctrl
177,04/18/18 03:50:00 PM,24.062,Ctrl
178,04/18/18 04:00:00 PM,24.062,Ctrl
179,04/18/18 04:10:00 PM,24.062,Ctrl
180,04/18/18 04:20:00 PM,24.062,Ctrl
181,04/18/18 04:30:00 PM,24.062,Ctrl
182,04/18/18 04:40:00 PM,24.062,Ctrl
183,04/18/18 04:50:00 PM,24.062,Ctrl
184,04/18/18 05:00:00 PM,24.158,Ctrl
185,04/18/18 05:10:00 PM,24.158,Ctrl
186,04/18/18 05:20:00 PM,24.158,Ctrl
187,04/18/18 05:30:00 PM,24.158,Ctrl
188,04/18/18 05:40:00 PM,24.158,Ctrl
189,04/18/18 05:50:00 PM,24.255,Ctrl
190,04/18/18 06:00:00 PM,24.255,Ctrl
191,04/18/18 06:10:00 PM,24.255,Ctrl
192,04/18/18 06:20:00 PM,24.255,Ctrl
193,04/18/18 06:30:00 PM,24.255,Ctrl
194,04/18/18 06:40:00 PM,24.255,Ctrl
195,04/18/18 06:50:00 PM,24.351,Ctrl
196,04/18/18 07:00:00 PM,24.351,Ctrl
197,04/18/18 07:10:00 PM,24.351,Ctrl
198,04/18/18 07:20:00 PM,24.351,Ctrl
199,04/18/18 07:30:00 PM,24.351,Ctrl
200,04/18/18 07:40:00 PM,24.351,Ctrl
201,04/18/18 07:50:00 PM,24.351,Ctrl
202,04/18/18 08:00:00 PM,24.351,Ctrl
203,04/18/18 08:10:00 PM,24.448,Ctrl
204,04/18/18 08:20:00 PM,24.448,Ctrl
205,04/18/18 08:30:00 PM,24.448,Ctrl
206,04/18/18 08:40:00 PM,24.448,Ctrl
207,04/18/18 08:50:00 PM,24.448,Ctrl
208,04/18/18 09:00:00 PM,24.448,Ctrl
209,04/18/18 09:10:00 PM,24.448,Ctrl
210,04/18/18 09:20:00 PM,24.448,Ctrl
211,04/18/18 09:30:00 PM,24.448,Ctrl
212,04/18/18 09:40:00 PM,24.448,Ctrl
213,04/18/18 09:50:00 PM,24.545,Ctrl
214,04/18/18 10:00:00 PM,24.545,Ctrl
215,04/18/18 10:10:00 PM,24.545,Ctrl
216,04/18/18 10:20:00 PM,24.545,Ctrl
217,04/18/18 10:30:00 PM,24.545,Ctrl
218,04/18/18 10:40:00 PM,24.545,Ctrl
219,04/18/18 10:50:00 PM,24.545,Ctrl
220,04/18/18 11:00:00 PM,24.545,Ctrl
221,04/18/18 11:10:00 PM,24.545,Ctrl
222,04/18/18 11:20:00 PM,24.545,Ctrl
223,04/18/18 11:30:00 PM,24.641,Ctrl
224,04/18/18 11:40:00 PM,24.641,Ctrl
225,04/18/18 11:50:00 PM,24.641,Ctrl
226,04/19/18 12:00:00 AM,24.641,Ctrl
227,04/19/18 12:10:00 AM,24.641,Ctrl
228,04/19/18 12:20:00 AM,24.641,Ctrl
229,04/19/18 12:30:00 AM,24.641,Ctrl
230,04/19/18 12:40:00 AM,24.641,Ctrl
231,04/19/18 12:50:00 AM,24.641,Ctrl
232,04/19/18 01:00:00 AM,24.641,Ctrl
233,04/19/18 01:10:00 AM,24.641,Ctrl
234,04/19/18 01:20:00 AM,24.641,Ctrl
235,04/19/18 01:30:00 AM,24.641,Ctrl
236,04/19/18 01:40:00 AM,24.641,Ctrl
237,04/19/18 01:50:00 AM,24.641,Ctrl
238,04/19/18 02:00:00 AM,24.738,Ctrl
239,04/19/18 02:10:00 AM,24.738,Ctrl
240,04/19/18 02:20:00 AM,24.738,Ctrl
241,04/19/18 02:30:00 AM,24.738,Ctrl
242,04/19/18 02:40:00 AM,24.738,Ctrl
243,04/19/18 02:50:00 AM,24.738,Ctrl
244,04/19/18 03:00:00 AM,24.738,Ctrl
245,04/19/18 03:10:00 AM,24.738,Ctrl
246,04/19/18 03:20:00 AM,24.738,Ctrl
247,04/19/18 03:30:00 AM,24.738,Ctrl
248,04/19/18 03:40:00 AM,24.738,Ctrl
249,04/19/18 03:50:00 AM,24.738,Ctrl
250,04/19/18 04:00:00 AM,24.738,Ctrl
251,04/19/18 04:10:00 AM,24.738,Ctrl
252,04/19/18 04:20:00 AM,24.738,Ctrl
253,04/19/18 04:30:00 AM,24.738,Ctrl
254,04/19/18 04:40:00 AM,24.738,Ctrl
255,04/19/18 04:50:00 AM,24.738,Ctrl
256,04/19/18 05:00:00 AM,24.738,Ctrl
257,04/19/18 05:10:00 AM,24.738,Ctrl
258,04/19/18 05:20:00 AM,24.738,Ctrl
