n,"Date Time, GMT-04:00",Temp,Treat,Rep
123,04/17/18 07:20:00 AM,33.222,Heat,E
124,04/17/18 07:30:00 AM,33.326,Heat,E
125,04/17/18 07:40:00 AM,33.326,Heat,E
126,04/17/18 07:50:00 AM,33.326,Heat,E
127,04/17/18 08:00:00 AM,33.43,Heat,E
128,04/17/18 08:10:00 AM,33.118,Heat,E
129,04/17/18 08:20:00 AM,32.807,Heat,E
130,04/17/18 08:30:00 AM,32.704,Heat,E
131,04/17/18 08:40:00 AM,32.6,Heat,E
132,04/17/18 08:50:00 AM,32.394,Heat,E
133,04/17/18 09:00:00 AM,32.291,Heat,E
134,04/17/18 09:10:00 AM,32.291,Heat,E
135,04/17/18 09:20:00 AM,32.291,Heat,E
136,04/17/18 09:30:00 AM,32.086,Heat,E
137,04/17/18 09:40:00 AM,32.188,Heat,E
138,04/17/18 09:50:00 AM,32.188,Heat,E
139,04/17/18 10:00:00 AM,32.086,Heat,E
140,04/17/18 10:10:00 AM,32.086,Heat,E
141,04/17/18 10:20:00 AM,32.188,Heat,E
142,04/17/18 10:30:00 AM,32.086,Heat,E
143,04/17/18 10:40:00 AM,32.086,Heat,E
144,04/17/18 10:50:00 AM,32.188,Heat,E
145,04/17/18 11:00:00 AM,32.086,Heat,E
146,04/17/18 11:10:00 AM,32.086,Heat,E
147,04/17/18 11:20:00 AM,32.188,Heat,E
148,04/17/18 11:30:00 AM,32.086,Heat,E
149,04/17/18 11:40:00 AM,32.086,Heat,E
150,04/17/18 11:50:00 AM,32.188,Heat,E
151,04/17/18 12:00:00 PM,32.086,Heat,E
152,04/17/18 12:10:00 PM,32.188,Heat,E
153,04/17/18 12:20:00 PM,32.188,Heat,E
154,04/17/18 12:30:00 PM,32.086,Heat,E
155,04/17/18 12:40:00 PM,32.188,Heat,E
156,04/17/18 12:50:00 PM,32.188,Heat,E
157,04/17/18 01:00:00 PM,32.086,Heat,E
158,04/17/18 01:10:00 PM,32.188,Heat,E
159,04/17/18 01:20:00 PM,32.188,Heat,E
160,04/17/18 01:30:00 PM,32.188,Heat,E
161,04/17/18 01:40:00 PM,32.188,Heat,E
162,04/17/18 01:50:00 PM,32.188,Heat,E
163,04/17/18 02:00:00 PM,32.291,Heat,E
164,04/17/18 02:10:00 PM,32.188,Heat,E
165,04/17/18 02:20:00 PM,32.188,Heat,E
166,04/17/18 02:30:00 PM,32.188,Heat,E
167,04/17/18 02:40:00 PM,32.188,Heat,E
168,04/17/18 02:50:00 PM,32.291,Heat,E
169,04/17/18 03:00:00 PM,32.188,Heat,E
170,04/17/18 03:10:00 PM,32.188,Heat,E
171,04/17/18 03:20:00 PM,32.188,Heat,E
172,04/17/18 03:30:00 PM,32.188,Heat,E
173,04/17/18 03:40:00 PM,32.188,Heat,E
174,04/17/18 03:50:00 PM,32.188,Heat,E
175,04/17/18 04:00:00 PM,32.188,Heat,E
176,04/17/18 04:10:00 PM,32.291,Heat,E
177,04/17/18 04:20:00 PM,32.188,Heat,E
178,04/17/18 04:30:00 PM,32.291,Heat,E
179,04/17/18 04:40:00 PM,32.291,Heat,E
180,04/17/18 04:50:00 PM,32.291,Heat,E
181,04/17/18 05:00:00 PM,32.291,Heat,E
182,04/17/18 05:10:00 PM,32.291,Heat,E
183,04/17/18 05:20:00 PM,32.291,Heat,E
184,04/17/18 05:30:00 PM,32.291,Heat,E
185,04/17/18 05:40:00 PM,32.291,Heat,E
186,04/17/18 05:50:00 PM,32.291,Heat,E
187,04/17/18 06:00:00 PM,32.188,Heat,E
188,04/17/18 06:10:00 PM,32.291,Heat,E
189,04/17/18 06:20:00 PM,32.291,Heat,E
190,04/17/18 06:30:00 PM,32.291,Heat,E
191,04/17/18 06:40:00 PM,32.291,Heat,E
192,04/17/18 06:50:00 PM,32.291,Heat,E
193,04/17/18 07:00:00 PM,32.291,Heat,E
194,04/17/18 07:10:00 PM,32.188,Heat,E
195,04/17/18 07:20:00 PM,32.291,Heat,E
196,04/17/18 07:30:00 PM,32.291,Heat,E
197,04/17/18 07:40:00 PM,32.188,Heat,E
198,04/17/18 07:50:00 PM,32.291,Heat,E
199,04/17/18 08:00:00 PM,32.291,Heat,E
200,04/17/18 08:10:00 PM,32.291,Heat,E
201,04/17/18 08:20:00 PM,32.291,Heat,E
202,04/17/18 08:30:00 PM,32.291,Heat,E
203,04/17/18 08:40:00 PM,32.291,Heat,E
204,04/17/18 08:50:00 PM,32.291,Heat,E
205,04/17/18 09:00:00 PM,32.394,Heat,E
206,04/17/18 09:10:00 PM,32.291,Heat,E
207,04/17/18 09:20:00 PM,32.291,Heat,E
208,04/17/18 09:30:00 PM,32.394,Heat,E
209,04/17/18 09:40:00 PM,32.291,Heat,E
210,04/17/18 09:50:00 PM,32.291,Heat,E
211,04/17/18 10:00:00 PM,32.394,Heat,E
212,04/17/18 10:10:00 PM,32.394,Heat,E
213,04/17/18 10:20:00 PM,32.291,Heat,E
214,04/17/18 10:30:00 PM,32.394,Heat,E
215,04/17/18 10:40:00 PM,32.394,Heat,E
216,04/17/18 10:50:00 PM,32.394,Heat,E
217,04/17/18 11:00:00 PM,32.394,Heat,E
218,04/17/18 11:10:00 PM,32.394,Heat,E
